Date,KSSMB,KQSMB,KSHML,KQHML,KSMMT,KQMMT
2016-02-22,-0.00255,-0.0014,0.005363333,0.005875,0.002730854,-0.006476984
2016-02-23,-0.00065,0.00245,-0.007796667,-0.011775,-0.012735119,0.019377695
2016-02-24,-0.00445,0.0099,0.009916667,0.010825,-0.005019259,-0.000833793
2016-02-25,0.00075,-0.0012,0.000496667,0.01,0.005314474,-0.003172604
2016-02-26,-0.00425,0.00285,0.00157,-0.001075,0.026080717,-0.016326483
2016-02-29,0.0002,-0.00075,0.00308,-0.001,-0.002308799,-0.001915932
2016-03-02,0.0048,-0.0147,0.011236667,0.01325,-0.003438125,0.024406623
2016-03-03,0.00135,-0.00675,0.00131,0.0042,-0.014463827,-0.002632986
2016-03-04,-0.0067,0.0065,-0.00293,-0.00095,0.000534361,-0.031879809
2016-03-07,-0.001,0.01145,-0.003176667,-0.009275,-0.0577356,-0.006726348
2016-03-08,-0.00615,0.00305,-0.00147,-0.002225,-0.007981717,-0.016906513
2016-03-09,-0.0017,0.00735,-0.003873333,0.00215,0.015744115,-0.007075185
2016-03-10,0.00395,-0.01465,0.006026667,0.003925,-0.015178314,-0.008198778
2016-03-11,-0.00355,0.0009,-0.00055,-0.00295,0.008396592,-0.008954364
2016-03-14,-0.0024,-0.003,-0.00125,0.002725,0.011429977,-0.002903574
2016-03-15,0.00425,-0.0096,-0.001076667,-0.009025,0.000465316,-0.025273591
2016-03-16,0.0037,0.0024,0.01054,0.007725,0.024015991,0.02125427
2016-03-17,0.0002,0.0225,-0.007416667,-0.0061,-0.028280384,0.035840065
2016-03-18,-0.00005,0.00265,0.000326667,0.002325,0.005886692,-0.016029948
2016-03-21,-0.0053,0.0119,0.000573333,-0.0013,0.018662369,-0.0077494
2016-03-22,0.0009,0.00785,0.007793333,0.005575,-0.011743447,0.026496454
2016-03-23,0.0042,-0.00055,-0.001053333,0.0017,0.013369376,-0.019429046
2016-03-24,-0.00565,0.00575,-0.003456667,-0.001325,-0.012609287,-0.016126608
2016-03-25,0.00105,0.0067,0.008046667,-0.00885,0.011191237,0.018678923
2016-03-28,0.00435,0.0083,-0.004866667,0.003025,0.003804606,-0.004545155
2016-03-29,-0.0015,-0.00965,0.007543333,0.0032,-0.003737101,-0.008856204
2016-03-30,-0.00195,-0.00195,0.00017,0.002375,-0.004634127,-0.000242253
2016-03-31,-0.0043,0.013,0.00516,-0.007525,0.010026999,0.026820011
2016-04-01,-0.00915,-0.0098,0.005493333,0.009375,0.007044585,0.044550696
2016-04-04,-0.00615,-0.0021,0.016253333,0.01425,0.046990266,0.010337102
2016-04-05,-0.00545,0.0104,-0.007236667,-0.001375,0.036359509,0.012204209
2016-04-06,0.00285,0.01245,-0.00038,-0.004625,-0.022874978,-0.056484774
2016-04-07,-0.00065,-0.0063,0.003083333,0.007125,0.012182038,0.016062036
2016-04-08,0.00035,0.0079,0.00173,0.01175,0.007199232,0.033963959
2016-04-11,-0.0003,0.01545,-0.004683333,-0.011025,0.010857146,0.026387796
2016-04-12,0.00205,0.0026,-0.00401,0.00175,-0.015337062,-0.015166505
2016-04-14,0.017,-0.0048,-0.012903333,0.001625,-0.03800491,0.003995255
2016-04-15,-0.00635,-0.00695,0.002943333,-0.007775,0.00191734,-0.029546667
2016-04-18,-0.00085,0,0.002333333,-0.0081,0.008675359,-0.047111707
2016-04-19,-0.00455,-0.00265,-0.004966667,0.00655,-0.027030373,0.0112616
2016-04-20,-0.00845,0.0054,-0.00068,-0.02035,-0.009225989,-0.004750003
2016-04-21,0.00195,0.0058,-0.00498,0.003375,0.000224007,-0.008109299
2016-04-22,-0.00375,0.01105,-0.001303333,0.00245,0.006858654,0.019503553
2016-04-25,0.00165,-0.0038,0.00859,0.00755,-0.002507161,0.001735871
2016-04-26,0.0027,0.0027,0.007466667,0.0002,0.000817508,0.012445047
2016-04-27,0.00295,0.00505,-0.007996667,-5.00E-05,-0.023695588,0.013750561
2016-04-28,-0.0045,0.0121,-0.007623333,0.005025,0.008095773,0.024255098
2016-04-29,-0.00185,-0.0017,-0.00506,0.001075,-0.007868264,0.007057402
2016-05-02,0.003,0.00735,-0.00074,-0.0061,0.009664869,-0.020597
2016-05-03,-0.0015,-0.00815,0.004146667,0.001175,-0.00293493,0.008268372
2016-05-04,0.00305,-0.0022,0.007976667,-0.007125,0.022212166,-0.003202749
2016-05-09,0.00385,-0.015,0.005073333,-0.0091,0.031155889,-0.026704482
2016-05-10,-0.00255,-0.003,0.017363333,0.00105,0.018197349,0.007870708
2016-05-11,-0.0055,-0.00005,-0.00328,-0.002775,0.015515708,0.023566819
2016-05-12,-0.00695,0.0019,0.004766667,0.0047,0.003589286,0.002893181
2016-05-13,-0.0074,0.00305,-0.00263,-0.00025,0.020513332,0.014179782
2016-05-16,0.00475,-0.00315,-0.000923333,-0.01495,0.021235898,0.013415375
2016-05-17,0.0006,0.00035,0.00791,-0.0152,0.008013774,-0.02242329
2016-05-18,0.00045,0.0058,0.002373333,-0.019,-0.00620225,0.011303944
2016-05-19,5.00E-05,0.00705,0.003146667,-0.017975,0.016309176,0.016943974
2016-05-20,-0.0022,0.0084,0.011866667,0.015425,0.025924287,0.050531157
2016-05-23,-0.00315,0.00225,0.011993333,0.00635,-0.008645797,-0.000895885
2016-05-24,-0.0037,0.00025,0.00197,0.000875,0.012877749,-0.003642862
2016-05-25,0.012,-0.01235,-0.004376667,0.0048,-0.005752014,-0.030287501
2016-05-26,-0.00355,0.01425,0.000666667,-0.00445,0.019990504,-0.001700992
2016-05-27,0.0026,-0.0005,-0.000913333,0.010325,-0.023475981,0.003859875
2016-05-30,0.00315,-0.012,0.002733333,0.0051,-0.020835892,-0.021554579
2016-05-31,0.00145,-0.0025,0.009333333,-0.0031,-0.045831132,-0.003709858
2016-06-01,-0.01085,0.01225,0.016473333,0.00065,-0.02196475,0.021194995
2016-06-02,-0.00575,0.0062,0.00642,0.012975,-0.010564999,-0.003314227
2016-06-03,0.00185,0.00445,-0.002173333,-0.013025,0.016640503,-0.00019794
2016-06-07,0.00515,-0.00035,0.001266667,-0.001525,-0.023195597,-0.009672631
2016-06-08,0.00835,-0.0027,0.002596667,0.006575,0.003175306,-0.017716886
2016-06-09,0.00635,-0.01145,-0.00627,-0.00375,-0.001461286,-0.001753072
2016-06-10,-0.00435,0.00925,0.00712,0.0061,-0.014994362,0.020054206
2016-06-13,-0.00615,0.008,-0.004366667,-0.00235,0.007682534,0.006072135
2016-06-14,0.00145,-0.0017,0.001586667,-0.005575,0.002054237,-0.00332396
2016-06-15,-0.0058,0.00335,0.010133333,-0.0005,-0.007482113,-0.004167582
2016-06-16,0.00585,-0.00655,-0.005646667,-0.012275,-0.005805387,-0.016559886
2016-06-17,-0.0035,0.0054,-0.002866667,0.000825,0.002378847,-0.021904341
2016-06-20,-0.00125,0.0075,-0.005066667,-0.007075,-0.00745988,0.015592537
2016-06-21,-0.0018,-0.00095,0.011896667,-0.013725,0.005734726,-0.000895064
2016-06-22,0.00465,-0.00125,-0.00679,0.002725,-0.004807241,-0.020956651
2016-06-23,0.0099,-0.00745,-0.009286667,-0.000825,-0.020713197,-0.026381826
2016-06-24,0.0141,-0.0142,-0.00418,-0.0075,-0.0038102,-0.011783918
2016-06-27,-0.00385,0.0155,0.002943333,0.002075,0.004530021,0.061083629
2016-06-28,-0.01025,0.0155,0.00573,0.001975,0.004961267,0.028763438
2016-06-29,-0.00555,0.00595,-0.002796667,-0.0002,0.003842162,0.023385862
2016-06-30,-0.001,0.0023,-0.000196667,0.00255,0.011645968,-0.006933242
2016-07-01,-0.00525,0.0025,0.005916667,0.006225,0.008233078,0.024845672
2016-07-04,-0.0024,0.00355,0.003683333,-0.002675,-0.004215738,0.003594436
2016-07-05,-0.00515,0.0019,-0.00012,0.0039,0.008652615,-0.006631908
2016-07-06,-0.00725,0.00505,-0.0021,-0.00415,-0.028793617,0.011043687
2016-07-07,0.00075,0.0017,0.00841,0.010625,-0.005559037,-0.010555138
2016-07-08,-0.00275,0.0069,-0.000456667,-0.001425,0.010560135,0.008067834
2016-07-11,0.0075,0.00565,0.001556667,0.002525,0.002587735,-0.004315123
2016-07-12,-0.00225,0.00065,-0.010116667,-0.0088,-0.019862555,-0.007173814
2016-07-13,0.00175,0.0034,-0.01106,0.00845,-0.008942213,0.006430968
