FuturesID,Name,Market,SpotName,SpotCode,Ticker
KRDRVFUSD3,파생 선물 KCC,KOSPI,KCC,KR7002380004,A002380
KRDRVFUSD4,파생 선물 GS리테일,KOSPI,GS리테일,KR7007070006,A007070
KRDRVFUSD5,파생 선물 에스원,KOSPI,에스원,KR7012750006,A012750
KRDRVFUSD6,파생 선물 유한양행,KOSPI,유한양행,KR7000100008,A000100
KRDRVFUSD7,파생 선물 한전KPS,KOSPI,한전KPS,KR7051600005,A051600
KRDRVFUSD8,파생 선물 현대백화점,KOSPI,현대백화점,KR7069960003,A069960
KRDRVFUSD9,파생 선물 CJ CGV,KOSPI,CJ CGV,KR7079160008,A079160
KRDRVFUSDA,파생 선물 농심,KOSPI,농심,KR7004370003,A004370
KRDRVFUSDB,파생 선물 LIG넥스원,KOSPI,LIG넥스원,KR7079550000,A079550
KRDRVFUSDC,파생 선물 만도,KOSPI,만도,KR7204320006,A204320
KRDRVFUSDD,파생 선물 신세계,KOSPI,신세계,KR7004170007,A004170
KRDRVFUSDE,파생 선물 한국콜마,KOSPI,한국콜마,KR7161890009,A161890
KRDRVFUSDG,파생 선물 영원무역,KOSPI,영원무역,KR7111770004,A111770
KRDRVFUSDH,파생 선물 메리츠증권,KOSPI,메리츠증권,KR7008560005,A008560
KRDRVFUSDJ,파생 선물 대한유화,KOSPI,대한유화,KR7006650006,A006650
KRDRVFUSDK,파생 선물 코스맥스,KOSPI,코스맥스,KR7192820009,A192820
KRDRVFUSDL,파생 선물 LX하우시스,KOSPI,LX하우시스,KR7108670001,A108670
KRDRVFUSDM,파생 선물 다우기술,KOSPI,다우기술,KR7023590003,A023590
KRDRVFUSDN,파생 선물 하나투어,KOSPI,하나투어,KR7039130000,A039130
KRDRVFUSDP,파생 선물 메디톡스,KOSDAQ,메디톡스,KR7086900008,A086900
KRDRVFUSDR,파생 선물 컴투스,KOSDAQ,컴투스,KR7078340007,A078340
KRDRVFUSDS,파생 선물 SK머티리얼즈,KOSDAQ,SK머티리얼즈,KR7036490001,A036490
KRDRVFUSDT,파생 선물 씨제이이엔엠,KOSDAQ,씨제이이엔엠,KR7035760008,A035760
KRDRVFUSDV,파생 선물 에스에프에이,KOSDAQ,에스에프에이,KR7056190002,A056190
KRDRVFUSDW,파생 선물 두산밥캣,KOSPI,두산밥캣,KR7241560002,A241560
KRDRVFUSDY,파생 선물 현대엘리베이,KOSPI,현대엘리베이,KR7017800004,A017800
KRDRVFUSDZ,파생 선물 한세실업,KOSPI,한세실업,KR7105630008,A105630
KRDRVFUSE0,파생 선물 원익IPS,KOSDAQ,원익IPS,KR7240810002,A240810
KRDRVFUSE1,파생 선물 JW중외제약,KOSPI,JW중외제약,KR7001060003,A001060
KRDRVFUSE2,파생 선물 안랩,KOSDAQ,안랩,KR7053800009,A053800
KRDRVFUSE3,파생 선물 파트론,KOSDAQ,파트론,KR7091700005,A091700
KRDRVFUSE4,파생 선물 에스엠,KOSDAQ,에스엠,KR7041510009,A041510
KRDRVFUSE5,파생 선물 넷마블,KOSPI,넷마블,KR7251270005,A251270
KRDRVFUSE6,파생 선물 셀트리온헬스케어,KOSDAQ,셀트리온헬스케어,KR7091990002,A091990
KRDRVFUSE8,파생 선물 포스코케미칼,KOSPI,포스코케미칼,KR7003670007,A003670
KRDRVFUSE9,파생 선물 영진약품,KOSPI,영진약품,KR7003520004,A003520
KRDRVFUSEA,파생 선물 PI첨단소재,KOSDAQ,PI첨단소재,KR7178920005,A178920
KRDRVFUSEB,파생 선물 우리금융지주,KOSPI,우리금융지주,KR7316140003,A316140
KRDRVFUSEC,파생 선물 HDC현대산업개발,KOSPI,HDC현대산업개발,KR7294870001,A294870
KRDRVFUSED,파생 선물 일진머티리얼즈,KOSPI,일진머티리얼즈,KR7020150009,A020150
KRDRVFUSEE,파생 선물 한올바이오파마,KOSPI,한올바이오파마,KR7009420001,A009420
KRDRVFUSEF,파생 선물 JYP Ent.,KOSDAQ,제이와이피엔터테인먼트,KR7035900000,A035900
KRDRVFUSEG,파생 선물 쌍용C&E,KOSPI,쌍용C&E,KR7003410008,A003410
KRDRVFUSEH,파생 선물 팬오션,KOSPI,팬오션,KR7028670008,A028670
KRDRVFUSEJ,파생 선물 SKC,KOSPI,SKC,KR7011790003,A011790
KRDRVFUSEK,파생 선물 DB하이텍,KOSPI,DB하이텍,KR7000990002,A000990
